Titel,Status,Kategorie,ID,Datum,Beschreibung,Adresse,Koordinaten,Logbucheinträge
ID 1309,Bearbeitet,Privates Grün an Straßen 🌲,1309,"21.05.2025, 12:19","In der Bürgerstraße sind bei verschiedenen Hausgrundstücken die Hecken schon weit auf den Bürgersteig gewachsen (z. B. bei Nr 6, Nr 99), so dass der Bürgersteig für Menschen mit Rollatoren oder Rollstuhl, Kinderwagen etc. kaum zu benutzen ist.","Bürgerstraße 92, 26123 Oldenburg","53.1563885, 8.224968","21.05.2025, 12:53: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 12:53: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1305,Bearbeitet,Ampel 🚦,1305,"21.05.2025, 11:29",Fußgängeampel defekt,"Langenweg, 26125 Oldenburg","53.1864084, 8.2105996","21.05.2025, 12:06: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 12:05: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1296,Bearbeitet,Straßen  🚧,1296,"21.05.2025, 08:47",Vor dem Haus ist eine gekennzeichnete Parkfläche auf der ein Transporter mit Anhänger parkt. Dadurch wird die Einfahrt zur hälfte blockiert und die Sicht ist eingeschränkt.,"Bardieksweg 46, 26125 Oldenburg","53.1871722, 8.2073532","21.05.2025, 09:47: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 09:47: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1293,Bearbeitet,Straßen  🚧,1293,"21.05.2025, 01:20","In der Kurve von der Rennplatzstr. - Butjadinger Str. Muss das Gebüsch  geschnitten werden, denn es verdeckt Teilweise die Schilder!
Und da wo die AB Ohmstede von Nadorster Str. her runter kommt, muss der Asphalt  unten die Schlaglöcher  reparieren!","Elsflether Straße 128, 26125 Oldenburg","53.1695678, 8.2620226","28.05.2025, 14:33: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 28.05.2025, 14:33: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1288,Kein Status,Wilde Müllkippe 🧹,1288,"20.05.2025, 13:39",Seid mehreren Tagen Sperrmüll,Lade Adresse ...,"53.1206673, 8.22358959829146","22.05.2025, 10:35: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 22.05.2025, 10:34: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.05.2025, 10:33: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1287,Bearbeitet,Straßen  🚧,1287,"20.05.2025, 10:27",Zwei PKWs stehen am Anfang der Straße ohne Nummernschilder. Beide Dunkelblau bis schwarz.,"An der Fuchsbäke 12, 26131 Oldenburg","53.1240689, 8.1627982","21.05.2025, 10:43: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 10:43: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1280,Kein Status,Wilde Müllkippe 🧹,1280,"19.05.2025, 18:47",Starke Vermüllung am Altkleidercontainer Glascontainer am sprungweg hier sind wieder große Mengen an Müll klamottenkleidung und irgendwelche Gegenstände abgestellt,"Sprungweg 43, 26209 Oldenburg","53.0884905, 8.2432456","28.05.2025, 14:54: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt."
ID 1279,Kein Status,Wilde Müllkippe 🧹,1279,"19.05.2025, 18:41","Illegale Entsorgung von Pkw-Reifen, Hartenscher Damm, Parkplatz an der Haaren","Hartenscher Damm, 26129 Oldenburg","53.1490358, 8.1672677","20.05.2025, 14:24: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1278,Bearbeitet,Straßen  🚧,1278,"19.05.2025, 18:29",Abgebrochener weißer Leitpfosten.,Lade Adresse ...,"53.144443, 8.1792821","21.05.2025, 10:49: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 10:49: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1274,Bearbeitet,Straßen  🚧,1274,"19.05.2025, 12:57","Der Fuß/Fahrradweg am Bloherfelder Teich und Wasserzug hat erhebliche Risse im Asphalt. Teilweise mehrere Meter lang und über 5cm breit, insbesondere im Kurvenbereich. Gerade für Kinder ist dies eine große Gefahr, da sich die Räder leicht verkannten können und dort direkt die Böschung in das Wasser heruntergeht.","Theodor-Heuss-Straße, 26129 Oldenburg","53.13975715, 8.17209613648036","21.05.2025, 11:29: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 11:29: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1271,Kein Status,Wilde Müllkippe 🧹,1271,"19.05.2025, 12:13","An der Ecke Freiherr-vom-Stein-Straße / Ferninand-Lassalle-Straße gibt es eine wilde Müllkippe: 1 TV, 1 Sack mit Bekleidung und Rutschstopper für den Teppich.","Freiherr-vom-Stein-Straße 58, 26129 Oldenburg","53.1392403, 8.1589585","21.05.2025, 10:38: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 19.05.2025, 12:40: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1268,Bearbeitet,Straßen  🚧,1268,"19.05.2025, 10:20",zugelassener Anhänger steht seit dem 04.05.2025 auf einer öffentlichen Parkfäche,Lade Adresse ...,"53.1662645, 8.21074565716369","19.05.2025, 14:12: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1264,Kein Status,Wilde Müllkippe 🧹,1264,"18.05.2025, 20:13",Illegale Müllentsorgung von zwei Dunkeln schwarzen Säcken an der Straße,"Rennplatzstraße 26, 26125 Oldenburg","53.1691484, 8.2326476236756","19.05.2025, 06:46: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1263,Bearbeitet,Straßen  🚧,1263,"18.05.2025, 19:29","Ortsschild Stadt Oldenburg offensichtlich entwendet.
Vermutlich in der Nacht zum 18.05.2025","Am Ende, 26125 Oldenburg","53.2020264938541, 8.22018219155598","19.05.2025, 11:29: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 19.05.2025, 11:25: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1262,Bearbeitet,Straßen  🚧,1262,"18.05.2025, 09:37","Risse im Asphalt auf dem Sprungweg , Nahe der Autobahnbrücke und dem Wendeplatz .
Grosse Gefahr für Radfahrer !!!","A 28, 26135 Oldenburg","53.1174168364363, 8.26655867459921","21.05.2025, 13:06: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 13:05: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1261,Kein Status,Wilde Müllkippe 🧹,1261,"18.05.2025, 07:50",Bei einem Auszug wurde eine Matraze und ein Matrazenschoner an der Straße entsorgt. Der Verursacher ist bekannt.,Lade Adresse ...,"53.13221345, 8.22773856746666","19.05.2025, 11:55: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 19.05.2025, 11:48: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1259,Bearbeitet,Straßen  🚧,1259,"17.05.2025, 23:47","wenn man vom Prinzessinweg einbiegt die gesamte Str. ist sehr defekt!
das für Radfahrer sehr gefährlich!
Und für Autos auch nicht gut!
Und es ist dort wie auch in sämtlichen anderen Seitenstr. vom Prinzessinweg/Bernhardstr.  und im Prinzessinweg/Bernhardstr. wird ständig falsch geparkt!
zu nahe an Kurven, wo Str. ein-/aus münden!
Das eine zu große Gefahr und muß beseitigt werden!","Tannenstraße 9, 26122 Oldenburg","53.1395188, 8.1940844","19.05.2025, 14:15: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 19.05.2025, 14:14: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1258,Bearbeitet,Straßen  🚧,1258,"17.05.2025, 23:36","wo die Blumenstr. in die Peterstr. mündet, da muß der Asphalt erneuert werden!
Als Auto schon nicht schön, wenn man rein fährt und per Rad  beide Seiten her extrem gefährlich zu fahren!","Blumenstraße, 26121 Oldenburg","53.1449291, 8.2065779","21.05.2025, 10:51: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1257,Bearbeitet,Straßen  🚧,1257,"17.05.2025, 23:34","wenn man von oben her kommt, ist der Buschhagenweg am Ende defekt!
Das ist gefährlich zu fahren!
Muss erneuert werden.","Cloppenburger Straße, 26133 Oldenburg","53.120021, 8.2164846","28.05.2025, 14:34: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 28.05.2025, 14:34: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1256,Bearbeitet,Straßen  🚧,1256,"17.05.2025, 23:31","wenn man aus der Bodenburgallee kommt und denn Stadteinwärts in Richtung Hauptstr. unterwegs ist, ist die Abfahrt von Kreyenbrück komplett unten riesiges Schlagloch!
Das für Radfahrer eine sehr starke Gefahr!
Und auch für die Fahrzeuge die die AB runter fahren!
Das muss umgehend erneuert werden!","Hundsmühler Straße, 26131 Oldenburg","53.1264343, 8.1902573","23.05.2025, 12:44: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 23.05.2025, 12:44: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1255,Kein Status,Wilde Müllkippe 🧹,1255,"17.05.2025, 23:28","an den Müllcontainer ist ein schwarzes Sofa angelehnt
Bitte entfernen
stört die Optik","Weißenmoorstraße, 26125 Oldenburg","53.1784798, 8.21355953343812","20.05.2025, 09:49: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 19.05.2025, 13:39: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1254,Kein Status,Wilde Müllkippe 🧹,1254,"17.05.2025, 18:04","Am Schramperweg, in der ersten Rechtskurve zwischen Osterkampsweg und Edewechter Landstraße, liegen in einem größeren Plastikbeutel mehrere Polsterstücke / Autositze.","Schramperweg, 26129 Oldenburg","53.1284332419565, 8.15509576046625","20.05.2025, 10:31: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 20.05.2025, 10:30: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 19.05.2025, 13:38: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1252,Bearbeitet,Straßen  🚧,1252,"17.05.2025, 14:17","Bushaltestellenscheibe ""Im Krusenbusch"" stadteinwärts liegt in Scherben.","Im Krusenbusch, 26135 Oldenburg","53.1039658, 8.2438663","21.05.2025, 10:55: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 10:55: Dein Hinweis wurde an die VWG weitergeleitet.; 21.05.2025, 10:53: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1250,Bearbeitet,Straßen  🚧,1250,"17.05.2025, 13:36",Radweg/Wanderweg zugeparkt von Besuchern (vermutlich) des 1.001 Supermarktes,"Dwaschweg, 26133 Oldenburg","53.0963825808751, 8.23574007057617","23.05.2025, 12:53: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 23.05.2025, 12:53: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1248,Bearbeitet,Wilde Müllkippe 🧹,1248,"16.05.2025, 20:10",Altpapier erneut nicht abgeholt,"Ahlersweg 9, 26127 Oldenburg","53.17488745, 8.21071529497237","23.05.2025, 10:39: Es konnte an dem genannten Ort kein Altpapier von den Kolleginnen und Kollegen entdeckt werden. Falls Du die Altpapier-Tonne meinst, benötigen wir bitte noch einmal eine kurze Rückmeldung.; 23.05.2025, 07:35: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 23.05.2025, 07:15: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 19.05.2025, 13:47: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1247,Bearbeitet,Straßen  🚧,1247,"16.05.2025, 14:33","An der Cloppenburger Strasse Höhe Hausnummer 164 steht schon seit Monaten ein Bus mit 5 Tage Kennzeichen aus Syke (Februar abgelaufen) auf dem Parkstreifen und ragt in die Fahrbahn, dadurch kommt es im Begegnungsverkehr von LKW´s und Bussen immer zu Schwierigkeiten. Der rote Aufkleber vom ZAD ist schon ausgeblichen.","Cloppenburger Straße 44, 26135 Oldenburg","53.1285352, 8.2213064","21.05.2025, 10:57: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 10:57: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1246,Bearbeitet,Straßen  🚧,1246,"16.05.2025, 13:52",Zwei Wohnwagen stehen seit über 14 Tage in der genannten Straße im Wendehammer.,"Tübinger Straße 2, 26125 Oldenburg","53.1708242, 8.2322632","21.05.2025, 12:51: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 12:51: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1244,Bearbeitet,Privates Grün an Straßen 🌲,1244,"16.05.2025, 11:06",Hecken ragt in den Straßenraum und behindert Sicht beim Einfahren in die Straße von Grundstück Nr. 9,"Ahlersweg 11, 26127 Oldenburg","53.1750627, 8.2105819","21.05.2025, 14:11: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 14:11: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1241,Bearbeitet,Straßen  🚧,1241,"16.05.2025, 07:58",Neben dem Gullideckel auf der Straße entsteht ein immer größer werdendes Loch.,"Wilhelm-Krüger-Straße 44, 26123 Oldenburg","53.1599755, 8.2253652","21.05.2025, 11:01: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 11:00: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1240,Bearbeitet,Straßen  🚧,1240,"16.05.2025, 07:00",Der Asphalt ist aufgerissen. Es hat sich ein (vermutlich) unterspültes Loch gebildet. Siehe Foto.,"Wilhelm-Krüger-Straße 44, 26123 Oldenburg","53.1599755, 8.2253652","21.05.2025, 11:03: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 11:03: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1239,Bearbeitet,Straßen  🚧,1239,"15.05.2025, 20:21",Beim P+R Westfalendamm unter der Autobahn Richtung OlantisHuntebad ist ein Stein bei der Brücke in die Begrenzung zur Mühlenhunte gerollt.,"A 28, 26131 Oldenburg","53.1281344586742, 8.20875187894908","21.05.2025, 13:36: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 13:36: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1238,Bearbeitet,Straßen  🚧,1238,"15.05.2025, 17:28","Auf der Schliefenstraße nach der Einmündung der Kranbergstraße, befindet sich quer über der Fahrbahn (frühere Leitungsarbeit) eine mit Betonsteinen (Behelfslösung) gepflasterte Schwelle. Beim Überfahren dieser Schwelle insbesondere durch den Busverkehr, hier die Ziehharmonika Busse kommt es zu Lärmbelästigung und Erschütterungen. Die Busse hopsen regelrecht über die Schwelle. In dem Haus Kranbergstraße 47, wackeln beim Überfahren der Schwelle die Gläser im Schrank. Eine Wiederherstellung der Fahrbahndecke in diesem Bereich ist von Nöten.","Schlieffenstraße 9, 26123 Oldenburg","53.1551282, 8.237222","21.05.2025, 12:15: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 21.05.2025, 12:15: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1236,Kein Status,Wilde Müllkippe 🧹,1236,"15.05.2025, 16:52","Hier wurde von Kindern Sperrmüll ins Gebüsch gezogen zum Spielen. 
Da sie seit zwei Wochen nicht mehr damit spielen, kann es wohl weg. 
Matratzen, Bettroste, Möbel, Farbeimer usw.","Sperberweg, 26133 Oldenburg","53.116629, 8.21990953773581","02.06.2025, 10:38: Der in der Meldung angezeigte Mangel wurde beseitigt.; 19.05.2025, 12:08: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1235,Kein Status,Wilde Müllkippe 🧹,1235,"15.05.2025, 16:04",Sperrmüll vor dem Haus auf dem Gehweg das Haus gehört der Stadt,"Nadorster Straße 68, 26123 Oldenburg","53.15167105, 8.21774245373212","02.06.2025, 07:01: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1227,Bearbeitet,Straßen  🚧,1227,"14.05.2025, 20:07",Schlagloch an der Sandkruger Straße kurz vor der Straße Westerholtsweg stadteinwärts,"Sandkruger Straße, 26133 Oldenburg","53.1038551, 8.2060503","19.05.2025, 14:38: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 19.05.2025, 14:38: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1226,Bearbeitet,Straßen  🚧,1226,"14.05.2025, 18:05","In der Carl-Friedrich-Gauss-Str. in höhe der Hausnummer 37 steh ein Fahrzeug welches seit Monaten offensichtlich nicht mehr bewegt wurde. Ein Blick auf das Kennzeichen verrät, dass der TÜV seit 2/25 fällig war. Dieses Fahrzeug wurde hier offensichtlich nur abgestellt und blockiert den ohnehin schon knappen Parkraum unnötig. Bitte veranlassen Sie den Halter, dass er das Fahrzeug entfernt, wenn er es nicht mehr nutzt.",26133 Oldenburg,"53.0988584, 8.2294794","19.05.2025, 14:56: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 19.05.2025, 14:56: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1224,Bearbeitet,Straßen  🚧,1224,"14.05.2025, 14:02",Abbiegespur Ampel rechts BAB Richtung Bremen: Die Abbiegespur + Fahrrad-Fußgängerüberweg + Zufahrt nach der Ampel zur BAB sind leider schon lange mit Schlaglöchern übersät.,"Hundsmühler Straße 66, 26131 Oldenburg","53.12726155, 8.18957712257463","22.05.2025, 16:19: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 16:19: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1223,Kein Status,Wilde Müllkippe 🧹,1223,"14.05.2025, 13:39","Seit etwa 10 Tagen liegt dort am straßenrand eine gesamte wohnungsauflösung, ein Teil davon wurde inzwischen von irgendjemandem mitgenommen. Wir wissen nicht von wem dieser Müll stammt","Wilhelm-Raabe-Straße 33, 26131 Oldenburg","53.122371, 8.1985075","02.06.2025, 10:37: Der in der Meldung angezeigte Mangel wurde beseitigt.; 19.05.2025, 13:37: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1222,Bearbeitet,Straßen  🚧,1222,"14.05.2025, 10:51","Schlaglöcher auf der rechten Seite der Ratsherr-Schulze-Straße zwischen Haarenufer und Lasiusstraße: Für Fahrradfahrer (vor allem Kinder) blöd und gefährlich, insb. wenn gleichzeitig Autoverkehr ist.","Ratsherr-Schulze-Straße 10, 26122 Oldenburg","53.1402291, 8.20149648193812","19.05.2025, 15:00: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 19.05.2025, 14:59: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
